date,closing_price,fear_greed_index,pageviews,ITB Sentiment Score,Bitcoin_Normalized,galaxy_score,santiment
2023-08-19,26096.205078125,39.0,11923,-0.3848202396804261,10.38383838383838,43,0.249393211415
2023-08-20,26189.583984375,37.0,8534,0.4175796178343949,9.085858585858585,42,-0.35299917069
2023-08-21,26124.140625,38.0,10202,-0.4752160072760346,11.047511312217194,42,0.920496993155
2023-08-22,26031.65625,37.0,9424,-0.1691331923890063,11.549670917317972,43,0.834577892415
2023-08-23,26431.640625,37.0,7886,-0.5528523489932886,11.38228438228438,42,1.002834610415
2023-08-24,26162.373046875,41.0,7239,-0.525668222316504,10.712738242150008,42,1.014753963464
2023-08-25,26047.66796875,39.0,9975,-0.5055165496489469,10.210578637049226,42,0.781709012204
2023-08-26,26008.462890625,38.0,9797,-0.4318181818181818,9.541032496914848,42,0.205962186873
2023-08-27,26089.693359375,38.0,10263,-0.3892445582586428,9.541032496914848,42,0.188708416643
2023-08-28,26106.150390625,39.0,10021,-0.4602239245727755,8.754587639738451,41,0.390636661786
2023-08-29,27727.392578125,39.0,10597,-0.515959595959596,10.904837235463686,42,2.004190883202
2023-08-30,27297.265625,49.0,8961,-0.3253012048192771,10.444069464951134,42,1.523023926922
2023-08-31,25931.47265625,52.0,8512,-0.4840122645641699,9.829712437601067,42,1.353130167301
2023-09-01,25800.724609375,40.0,7873,-0.3668723303274798,9.676123180763552,43,0.688744073822
2023-09-02,25868.798828125,39.0,7441,-0.3797559224694903,8.447409126063418,42,-0.472304253357
2023-09-03,25969.56640625,40.0,6828,-0.3123659756969263,8.140230612388384,41,-0.266776465901
2023-09-04,25812.416015625,40.0,8372,-0.2989064398541919,9.102205938477978,41,0.738761272303
2023-09-05,25779.982421875,40.0,7736,-0.3434757167934464,8.945271353331806,42,1.559826097368
2023-09-06,25753.236328125,42.0,7626,-0.4232804232804232,9.416075108770322,42,1.850811746588
2023-09-07,26240.1953125,41.0,8210,-0.4298331697742885,9.102205938477978,42,1.262655344092
2023-09-08,25905.654296875,46.0,13903,-0.4139100932994062,8.945271353331806,42,1.013950631259
2023-09-09,25895.677734375,41.0,14530,-0.4879425346331452,8.47446759789329,43,-0.421204503048
2023-09-10,25832.2265625,40.0,10139,-0.4569767441860465,8.317533012747118,43,-0.54354764879
2023-09-11,25162.654296875,40.0,10901,-0.3991803278688524,9.523002041136754,42,0.409361955007
2023-09-12,25833.34375,30.0,10465,-0.5783132530120482,9.68440885539331,42,1.365249271969
2023-09-13,26228.32421875,41.0,10244,-0.4706568208317139,9.3615952268802,42,0.410876402076
2023-09-14,26539.673828125,45.0,12805,-0.5533910533910534,8.554561155597424,42,0.076809150414
2023-09-15,26608.693359375,45.0,10112,-0.4314115308151093,8.877374784110534,45,0.678826497637
2023-09-16,26568.28125,43.0,8516,-0.3479883865615927,8.231747527084314,43,-0.53465946038
2023-09-17,26534.1875,46.0,7246,-0.2496894409937888,8.07034071282776,42,-0.498083218405
2023-09-18,26754.28125,46.0,10545,-0.6496956281128943,9.376196172248804,49,2.029467751962
2023-09-19,27211.1171875,46.0,10226,-0.512937595129376,8.761363636363637,43,0.619172354491
2023-09-20,27132.0078125,47.0,10220,-0.4455852156057495,8.91507177033493,42,0.16265655158
2023-09-21,26567.6328125,47.0,12075,-0.4883423826253593,8.453947368421053,42,0.147293790128
2023-09-22,26579.568359375,43.0,10897,-0.4179546201907267,8.146531100478468,43,0.316369235089
2023-09-23,26579.390625,47.0,11341,-0.3267561168113654,7.531698564593301,42,-0.790627673253
2023-09-24,26256.826171875,44.0,8804,-0.6574525745257452,7.224282296650718,42,-0.124722889051
2023-09-25,26298.48046875,47.0,9270,-0.6275808336579665,10.110776351410356,42,0.953969683506
2023-09-26,26217.25,46.0,9393,-0.6977624784853701,9.920006986289406,43,0.284480358143
2023-09-27,26352.716796875,44.0,10193,-0.5818505338078291,9.729237621168457,42,0.960032900172
2023-09-28,27021.546875,46.0,9461,-0.378941742383752,10.110776351410356,43,0.31170370457
2023-09-29,26911.720703125,48.0,9178,-0.1773347324239244,10.110776351410356,43,0.423552920283
2023-09-30,26967.916015625,47.0,7806,-0.0453053184504267,8.966160160684657,42,-0.868217168264
2023-10-01,27983.75,48.0,9423,-0.1691516709511568,7.249235874596106,43,-0.321772986046
2023-10-02,27530.78515625,50.0,9831,-0.471039776692254,9.946475625823451,43,1.61403301724
2023-10-03,27429.978515625,50.0,7833,-0.4300111982082866,8.46508563899868,40,0.358585876222
2023-10-04,27799.39453125,49.0,8937,-0.5380689068481497,8.253458498023713,40,1.01630318345
2023-10-05,27415.912109375,48.0,7711,-0.3163659793814433,8.041831357048746,40,1.28906385032
2023-10-06,27946.59765625,50.0,8239,-0.377670572019297,8.46508563899868,40,0.633302102237
2023-10-07,27968.83984375,49.0,8517,-0.4188824662813102,7.406949934123845,40,-0.653147955354
2023-10-08,27935.08984375,50.0,7405,-0.4926108374384236,7.83020421607378,40,-1.363577143866
2023-10-09,27583.677734375,50.0,8141,-0.1227099896301417,10.461329715061057,40,0.69640735989
2023-10-10,27391.01953125,50.0,9326,-0.5285806037251124,10.461329715061057,40,0.461210360052
2023-10-11,26873.3203125,47.0,8974,-0.1610352264557872,10.199796472184532,40,0.602831397211
2023-10-12,26756.798828125,45.0,8954,-0.2571726656233698,10.199796472184532,40,0.144134816179
2023-10-13,26862.375,44.0,7877,-0.281995661605206,10.199796472184532,40,0.005392135831
2023-10-14,26861.70703125,47.0,7935,-0.614064462118041,9.153663500678425,40,-0.973084907567
2023-10-15,27159.65234375,45.0,9337,0.0322295805739514,9.415196743554953,40,-0.75272241128
2023-10-16,28519.466796875,47.0,11986,-0.4509090909090909,15.802704963747908,40,2.500634230594
2023-10-17,28415.748046875,52.0,9571,-0.6115819209039548,14.835192414947011,40,0.158603139566
2023-10-18,28328.341796875,50.0,9903,-0.5053435114503817,14.512688232013383,40,-0.312241874172
2023-10-19,28719.806640625,52.0,10592,-0.4313648807195933,13.86767986614612,40,-0.157223726761
2023-10-20,29682.94921875,53.0,11894,-0.0774625438316863,16.44771332961517,40,1.28895161117
2023-10-21,29918.412109375,63.0,9521,0.1908755451190875,15.480200780814275,40,-0.548370308231
2023-10-22,29993.896484375,53.0,10003,0.1386281588447653,14.190184049079754,40,-0.914451750499
2023-10-23,33086.234375,53.0,13801,-0.1020137198495242,11.248213576816196,40,4.136163596875
2023-10-24,33901.52734375,66.0,23112,-0.2198813663325833,17.854307264787607,40,2.62916168596
2023-10-25,34502.8203125,72.0,17483,-0.1073446327683615,13.569273521238584,40,0.103804841474
2023-10-26,34156.6484375,71.0,13064,-0.1162627327010888,11.605299722111946,40,-0.767443381486
2023-10-27,33909.80078125,70.0,10583,-0.3361901051811453,9.99841206828106,40,-0.6597101775
2023-10-28,34089.57421875,65.0,8755,-0.5419760137064534,8.927153632393804,40,-1.875379619022
2023-10-29,34538.48046875,72.0,8879,-0.5021418372203712,8.570067487098054,40,-1.424577068449
2023-10-30,34502.36328125,68.0,9426,-0.4888366627497062,13.27717879604672,40,-0.17012144409
2023-10-31,34667.78125,66.0,10493,-0.4020876826722338,12.55296904353508,40,0.995692975993
2023-11-01,35437.25390625,66.0,8845,-0.443952802359882,12.794372294372296,40,1.322460086595
2023-11-02,34938.2421875,72.0,8808,-0.5838150289017341,14.24279179939557,40,0.098359364322
2023-11-03,34732.32421875,65.0,10987,-0.5982274741506647,13.518582046883932,40,-1.096820192362
2023-11-04,35082.1953125,68.0,9167,-0.5558139534883721,11.345952789349017,40,-1.684772298528
2023-11-05,35049.35546875,70.0,9731,-0.3544590312358533,11.828759291023442,40,-1.120916096314
2023-11-06,35037.37109375,74.0,10091,-0.4266211604095563,10.681629260182875,40,-0.430373054323
2023-11-07,35443.5625,68.0,8567,0.0224422442244224,11.536159600997504,40,-0.47583150614
2023-11-08,35655.27734375,66.0,10482,-0.2431767887878042,11.10889443059019,40,-1.926642438096
2023-11-09,36693.125,69.0,11099,-0.5840757238307349,15.16791354945968,40,1.226642651927
2023-11-10,37313.96875,70.0,10744,-0.4795956570572819,13.886118038237742,40,0.151593965064
2023-11-11,37138.05078125,70.0,7793,-0.5826851538721677,11.96342477140482,40,-1.457393058077
2023-11-12,37054.51953125,73.0,9438,-0.5588048315321043,11.322527015793847,40,-1.360772779267
2023-11-13,36502.35546875,72.0,14077,-0.2697343808454919,12.09005376344086,40,-0.765624176715
2023-11-14,35537.640625,69.0,10005,-0.1745835903763109,12.749511241446726,40,0.939227151917
2023-11-15,37880.58203125,60.0,9723,-0.5241567912488605,12.749511241446726,40,1.157735468572
2023-11-16,36154.76953125,70.0,9728,-0.5079758950726693,12.30987292277615,40,0.755285898949
2023-11-17,36596.68359375,63.0,9738,-0.6027139087825104,11.210777126099703,40,0.56408941826
2023-11-18,36585.703125,69.0,10001,-0.3787810383747178,10.55131964809384,40,-1.177497400093
2023-11-19,37386.546875,66.0,8585,-0.460832745236415,10.111681329423265,40,-0.88583522687
2023-11-20,37476.95703125,69.0,10195,-0.251170046801872,12.312370867768593,40,2.660938870914
2023-11-21,35813.8125,71.0,11338,0.0121640735502121,12.080061983471072,40,1.324481124335
2023-11-22,37432.33984375,62.0,13564,0.2218416280475519,12.544679752066116,40,0.381667631136
2023-11-23,37289.62109375,66.0,11676,-0.0275689223057644,11.38313533057851,40,-0.251107781454
2023-11-24,37720.28125,66.0,11126,-0.1203445654927793,12.080061983471072,40,1.168776007346
2023-11-25,37796.79296875,73.0,10452,-0.0284521012790394,10.918517561983473,40,-0.771856015163
2023-11-26,37479.12109375,73.0,8517,0.0272071071626873,10.45389979338843,40,-1.349950215918
2023-11-27,37254.16796875,66.0,9159,0.0237068965517241,16.41411279938192,40,-0.572358000685
2023-11-28,37831.0859375,68.0,10708,0.0491803278688524,16.41411279938192,40,-1.168230787625
2023-11-29,37858.4921875,72.0,10440,-0.0511590727418065,17.09803416602283,40,0.034144275589
2023-11-30,37712.74609375,74.0,9742,0.0187471422039323,16.07215211606146,40,-0.69324628276
2023-12-01,38688.75,71.0,8970,0.1172796668979875,17.781955532663744,40,0.868545386594
